,mse,mse avg,r2,r2 avg,coefs
0,"[0.06394430805166156, 0.06849131425206618, 0.06404255721734549, 0.07066615173706205, 0.0611359022119355, 0.07017190611113369, 0.06667265101180424, 0.06827869916882041, 0.059548168675145036, 0.0684578282565234]",0.06614094866934975,"[0.6686077207636361, 0.6335413306115041, 0.6663624442492526, 0.6129870361042624, 0.6666273804978534, 0.6329013697412051, 0.6456031437385862, 0.6405396355362363, 0.6776944120841837, 0.6371693546450337]",0.6482033827971753,"[[-4.01716462e-28,  2.14324493e-01, -7.86030500e-02, -1.12178453e-01,
       -9.34271077e-02,  1.12880373e-01,  7.03448014e-01,  3.75308353e-03,
        7.53464340e-02,  4.99807041e-02, -5.32948158e-02, -5.98963438e-02,
       -7.94027211e-02, -2.79469719e-02,  9.24918156e-03,  6.59302362e-02,
       -6.36837635e-02,  5.33806134e-03,  2.12553920e-01,  7.90884441e-01,
       -4.11384930e-28], [ 1.29319357e-27,  1.43895021e-01, -9.84735878e-02, -1.19074651e-01,
       -7.22922990e-02,  5.42814828e-02,  6.88045524e-01,  1.72049380e-02,
        1.02704058e-01,  1.38335359e-02,  6.07805246e-05, -5.19556823e-02,
       -6.12878060e-02,  7.64205848e-03, -2.52506568e-02,  5.93244552e-02,
       -4.83004548e-02, -2.30122408e-02,  2.27634326e-01,  7.68923731e-01,
        1.26764597e-27], [-2.25566574e-27,  2.62994094e-01, -7.64184059e-02, -1.01378018e-01,
       -8.17503860e-02,  8.11823213e-02,  7.47112867e-01, -2.23054040e-02,
        1.12473593e-01, -2.28486342e-03, -3.87680743e-02, -5.95768127e-02,
       -7.93544006e-02, -4.82183605e-02, -3.28358973e-02,  7.11852888e-03,
       -4.31644806e-02,  7.92400314e-03,  2.64235873e-01,  8.11809141e-01,
       -2.23709114e-27], [-1.47939605e-27,  1.99751956e-01, -5.31436769e-02, -8.06025167e-02,
       -8.94089090e-02,  5.68169639e-02,  7.15654364e-01,  3.26371209e-02,
        1.07758704e-01, -1.23942459e-02, -7.03858392e-03, -3.86189714e-02,
       -3.90933062e-02, -2.04193329e-02,  8.07683585e-03,  9.25209082e-02,
       -5.16687592e-03,  1.69010302e-02,  2.34620520e-01,  7.85924472e-01,
       -1.48177136e-27], [ 0.        ,  0.17925068, -0.04841909, -0.15055336, -0.07363868,
        0.05741502,  0.74406864,  0.01186587,  0.07937269, -0.0100644 ,
       -0.02839929, -0.02927883, -0.06402262, -0.02161389, -0.0156953 ,
        0.05580868, -0.01032933, -0.03006673,  0.19833673,  0.81340162,
        0.        ], [-2.31663195e-27,  2.23678946e-01, -7.67450817e-02, -1.31624887e-01,
       -1.06778407e-01,  1.17229727e-01,  6.82841823e-01,  2.91750834e-02,
        7.22210084e-02, -2.37685869e-02, -1.32465883e-02, -4.95137680e-02,
       -5.92826214e-02, -4.59001965e-02,  1.27092396e-02,  2.72394771e-02,
       -2.62719052e-02,  1.93295005e-02,  2.48200713e-01,  7.80507713e-01,
       -2.31957551e-27], [-1.49530888e-27,  1.64236429e-01, -6.41490483e-02, -6.35644969e-02,
       -6.98508928e-02,  7.79872508e-02,  7.27273257e-01,  8.93293758e-04,
        8.83887588e-02,  1.01580699e-02, -4.99793085e-02, -8.04043538e-02,
       -6.20656166e-02, -4.93383356e-02,  5.36587232e-03,  1.01579752e-02,
       -1.73864926e-02, -4.37995857e-03,  2.19709941e-01,  7.65327145e-01,
       -1.47742757e-27], [-2.21687345e-27,  2.38524937e-01, -8.75029878e-02, -9.42037527e-02,
       -7.25299658e-02,  1.04327130e-01,  6.70163995e-01, -2.14486477e-02,
        8.23190142e-02,  5.76623305e-06, -4.42628591e-04, -5.71036953e-02,
       -3.94792849e-02, -4.57057413e-02, -3.72366984e-03,  2.65421307e-02,
       -5.40988711e-02,  7.83492252e-03,  2.30729958e-01,  7.76268845e-01,
       -2.22798232e-27], [ 5.48416815e-28,  1.67440237e-01, -7.35958538e-02, -9.59526652e-02,
       -7.10951615e-02,  9.63644635e-02,  7.49049127e-01,  7.50088310e-03,
        1.16102421e-01,  1.59744967e-03, -1.30781400e-02, -4.92974429e-02,
       -2.61581919e-02, -4.51444928e-02,  6.20182264e-03,  7.10643922e-02,
        2.54854626e-05,  2.08888023e-03,  2.23648883e-01,  8.40393371e-01,
        5.29694501e-28], [-1.58725991e-27,  2.03632531e-01, -8.28865270e-02, -1.24520571e-01,
       -7.94043300e-02,  1.13407943e-01,  6.87171332e-01,  1.77864007e-02,
        1.07212528e-01, -2.24830012e-02, -3.96630715e-02, -8.06193813e-02,
       -4.40283523e-02, -3.50149926e-02,  8.34336362e-03,  3.81886251e-02,
       -7.01446427e-02, -7.01682211e-04,  1.89792326e-01,  7.73506688e-01,
       -1.59354542e-27]]"
1,"[0.1313172439466639, 0.13099148349181045, 0.12987458244624578, 0.13049077789383073, 0.13251930980472634, 0.1300835328622784, 0.12873955632575856, 0.1269524061088987, 0.13307584056065258, 0.12410235661211977]",0.1298147090052985,"[0.2835321965945813, 0.2822613974279873, 0.2840830344600017, 0.27695558891820393, 0.27281846296788903, 0.29131767446014945, 0.26523236271662676, 0.32887587138434016, 0.28485866607142685, 0.320972144320121]",0.2890907399321327,"[[-1.44588538e-27,  1.28918492e-01, -1.19828437e-01, -4.47398066e-01,
       -1.10906663e-01,  5.47460110e-02,  6.19334650e-03,  1.96734592e-01,
        1.30282405e-01, -1.22728666e-01,  5.13325966e-02,  1.98009773e-01,
        1.11321900e-01,  1.21583449e-01,  1.16811689e-01,  1.15455666e-01,
        1.48904560e-01,  5.48201752e-02, -1.06536768e-01, -1.13747602e-01,
       -1.42737215e-27], [-4.85187813e-29,  1.18028479e-01, -3.48054544e-02, -4.48412092e-01,
       -1.32579034e-01,  9.10393312e-02,  3.24368405e-02,  1.87052192e-01,
        1.10340994e-01, -6.80367526e-02,  8.65065299e-02,  1.90011527e-01,
        9.00997852e-02,  1.54806091e-01,  1.25898515e-01,  1.50785804e-01,
        1.23902522e-01,  8.18422607e-02, -1.66360826e-01, -1.36674578e-01,
       -4.85818535e-29], [-5.10400601e-28,  1.16085166e-01, -3.16805580e-02, -4.22452792e-01,
       -1.00606350e-01,  5.90171791e-02,  9.97205402e-03,  1.68874655e-01,
        1.34814207e-01, -1.30649214e-01,  9.22020130e-02,  1.82037600e-01,
        9.52902696e-02,  1.14098630e-01,  1.32922036e-01,  1.27165258e-01,
        1.11183904e-01,  7.74226887e-02, -1.28938431e-01, -1.32136608e-01,
       -5.00548107e-28], [-1.46506854e-28,  1.02815763e-01, -3.69829022e-02, -4.53220354e-01,
       -9.23259777e-02,  5.63310394e-02, -7.45449547e-03,  1.65755955e-01,
        1.18343715e-01, -1.14861671e-01,  8.75335473e-02,  1.60034209e-01,
        1.23903716e-01,  1.33698541e-01,  1.26572294e-01,  1.32627289e-01,
        1.52175410e-01,  7.68781788e-02, -1.08089633e-01, -1.32030690e-01,
       -1.58634238e-28], [-5.52679620e-28,  1.21820238e-01, -1.00817003e-01, -4.07844674e-01,
       -8.14370704e-02,  4.32868661e-02, -3.83699201e-02,  1.75572288e-01,
        1.27491584e-01, -1.15706463e-01,  4.67389443e-02,  1.82381429e-01,
        8.82170088e-02,  1.63244761e-01,  1.56811140e-01,  1.25910690e-01,
        9.39211013e-02,  6.40599734e-02, -9.58714060e-02, -1.56345113e-01,
       -5.60197351e-28], [-3.32213678e-27,  9.77161211e-02, -5.93411199e-02, -4.20248475e-01,
       -1.25688350e-01,  7.89627953e-02, -2.43785750e-02,  1.84414048e-01,
        8.58765935e-02, -1.17348218e-01,  9.10858722e-02,  2.02187340e-01,
        1.06555824e-01,  1.82922744e-01,  1.51641434e-01,  1.73055760e-01,
        1.88655508e-01,  7.97998645e-02, -1.36699500e-01, -1.36349111e-01,
       -3.31906330e-27], [-2.31834319e-28,  9.70472768e-02, -3.40714276e-02, -4.20263701e-01,
       -1.78952956e-01,  4.48610918e-02,  1.19527975e-02,  1.74985149e-01,
        1.03711493e-01, -9.18572963e-02, -1.49315185e-02,  1.46925496e-01,
        9.18240157e-02,  1.31974151e-01,  1.29416356e-01,  1.08520319e-01,
        1.02446892e-01,  4.16621699e-02, -1.28724881e-01, -1.15571009e-01,
       -2.29091933e-28], [-1.97332200e-27,  9.57510531e-02, -5.91880008e-02, -4.74249191e-01,
       -1.19338002e-01,  8.14469731e-02, -1.12688903e-02,  2.19804880e-01,
        1.19667342e-01, -9.89503562e-02,  1.90484730e-02,  2.19525811e-01,
        1.41291245e-01,  2.43730107e-01,  1.89540052e-01,  1.05509246e-01,
        1.53888091e-01,  6.87355921e-02, -1.26605616e-01, -1.50876522e-01,
       -1.96977120e-27], [-3.36362245e-28,  1.35568781e-01, -4.51396058e-02, -4.81801926e-01,
       -1.28262370e-01,  8.38395094e-02, -1.42273027e-02,  1.68110994e-01,
        1.27113010e-01, -1.13434096e-01,  3.59626941e-02,  1.53643696e-01,
        9.08843959e-02,  1.40274756e-01,  1.31250799e-01,  1.32661514e-01,
        1.33567595e-01,  2.97524865e-02, -1.26299774e-01, -1.01202206e-01,
       -3.28063421e-28], [-4.16298325e-27,  1.10889420e-01,  4.55673650e-04, -4.60547662e-01,
       -9.36129137e-02,  9.14267033e-02,  1.24571741e-02,  1.76932843e-01,
        1.33829271e-01, -1.14659787e-01,  4.30852827e-02,  2.10728687e-01,
        1.54252777e-01,  1.93875245e-01,  1.43328987e-01,  1.57420049e-01,
        1.58767407e-01,  3.75175409e-02, -7.91380140e-02, -1.60596722e-01,
       -4.11299179e-27]]"
2,"[0.010675432722590342, 0.008862238369642015, 0.009823054722758878, 0.009152078123935935, 0.011303688351682974, 0.010028230598699303, 0.009783270326757755, 0.009254847832657875, 0.009784403746033982, 0.00936955718475772]",0.009803680197951678,"[0.1085875703064344, 0.11935572786587356, 0.11215733548171557, 0.15222428552557, 0.18528063363956063, 0.117481821896511, 0.12200421416074538, 0.12644578497869452, 0.10623491722917966, 0.12854768914208392]",0.12783199802263687,"[[-2.96393108e-28,  3.68770242e-03, -1.74399196e-03,  2.78905467e-02,
        2.82885048e-02, -4.62428789e-03, -8.31028457e-03,  7.24423172e-02,
        4.35273176e-02,  3.18819451e-02,  3.89145010e-02,  3.01827117e-02,
        1.69879580e-02,  7.16250195e-03, -9.03775089e-04,  7.87149100e-04,
       -4.43744437e-03, -3.15171372e-03,  7.51408008e-03,  2.44816269e-03,
        2.01050681e-02,  1.91620034e-02, -2.38704591e-03, -6.32682147e-03,
       -3.38285129e-03, -1.63080228e-03, -3.94136497e-03, -3.00799479e-28], [-1.20064549e-28,  1.36920774e-02,  1.67231364e-03,  2.14380839e-02,
        7.61205149e-04, -1.01397900e-02, -8.08845762e-03,  7.74639046e-02,
        3.59894001e-02,  3.92111780e-02,  3.63588080e-02,  1.48344263e-02,
        1.80020664e-02,  1.34863966e-02,  6.69135592e-03, -5.98826707e-03,
        7.29709584e-04, -1.21926977e-02, -2.85632108e-03, -3.24114161e-03,
        1.17787727e-03,  8.00759851e-03,  4.87373316e-03, -5.84868326e-03,
       -1.06725928e-02,  1.24791135e-03,  2.94153996e-03, -1.19649175e-28], [-3.12822604e-29,  7.57710879e-03,  1.18214618e-04,  2.29392739e-02,
        1.51495516e-02, -1.31451910e-02, -2.16307481e-03,  8.18987613e-02,
        3.40314504e-02,  3.21688346e-02,  2.51446461e-02,  2.86696386e-02,
        3.00307819e-02,  1.41692151e-02,  7.06302601e-03,  1.08797221e-05,
        2.22696878e-03, -4.74222888e-03,  5.59700272e-05, -1.54976998e-02,
        8.20422628e-03, -2.98336983e-03,  3.17738663e-03,  1.78195113e-03,
       -7.13823927e-03,  7.60079810e-03,  1.34308471e-03, -3.23325943e-29], [-9.75547326e-28,  1.27594663e-02, -2.66482241e-03,  1.25429712e-03,
       -1.04468601e-03, -1.16752825e-02, -4.20283561e-03,  1.01281077e-01,
        4.90130114e-02,  3.08863674e-02,  4.54123403e-02,  2.12411978e-02,
        1.60005350e-02,  4.91380316e-03,  9.40307281e-03, -5.50891486e-05,
       -7.26746045e-03,  5.25580236e-03, -3.91368226e-03, -9.83493491e-03,
       -7.35123288e-03,  3.11048766e-03,  1.52090077e-03,  8.01589022e-03,
       -6.71021646e-03, -3.99997279e-03,  1.41428649e-03, -9.74920089e-28], [-2.42893547e-28, -3.32065572e-03, -3.56705828e-03, -4.03490327e-03,
        5.91846702e-03, -9.54916994e-03, -1.24029979e-02,  1.08014772e-01,
        5.53767241e-02,  4.43108527e-02,  5.46753256e-02,  5.05395143e-02,
        3.78950620e-02,  1.05169649e-02, -5.49768025e-03,  1.59257303e-02,
        8.78942130e-04, -8.79990751e-03,  2.36644656e-03,  1.37755640e-02,
        1.96902919e-03, -4.00464057e-03, -2.40733302e-04, -1.64188724e-02,
       -3.14196327e-03, -4.61857897e-03, -3.32220425e-03, -2.43943237e-28], [-3.78729851e-29,  7.13039513e-04, -2.16894194e-03,  2.16364570e-02,
        2.65180108e-02,  7.38254306e-03, -5.61803751e-03,  8.09275968e-02,
        5.14823556e-02,  1.94324416e-02,  4.27011052e-02,  1.03081320e-02,
        4.61789573e-03,  1.29941956e-02,  3.83528505e-03,  4.01378877e-03,
       -1.07647174e-02,  3.83559560e-03, -4.91717326e-03, -2.65428686e-03,
        8.60203366e-03,  1.13395292e-02,  5.44164381e-03,  1.78441281e-03,
       -5.87130708e-03, -7.99497927e-03,  2.36202163e-03, -3.79574216e-29], [-5.14132732e-29,  2.07610377e-03, -1.60262719e-04,  2.09730599e-02,
        1.25996182e-02, -1.42754353e-02, -3.54064204e-03,  8.01460850e-02,
        4.26958677e-02,  2.89085627e-02,  4.53836990e-02,  4.21260543e-02,
        3.78559787e-03,  3.82693070e-03, -6.58798910e-04,  6.77009271e-03,
        5.46268113e-04,  1.83393771e-03, -2.06278751e-03, -6.75364132e-03,
        2.98909623e-04,  1.27109924e-02,  3.42939149e-03,  8.69680972e-04,
       -2.25318104e-03,  1.89079179e-03, -2.99740164e-03, -5.08380945e-29], [-4.62881154e-29,  1.06488486e-04, -3.33007271e-03,  1.84877888e-02,
        5.95270996e-03, -1.94030561e-03, -1.17744840e-02,  9.29565087e-02,
        5.46367080e-02,  2.58394830e-02,  3.03685904e-02,  1.78551972e-02,
        1.48326243e-02,  8.81350105e-03,  1.16868737e-02,  4.15758859e-03,
       -5.50600087e-03, -5.09297122e-03, -8.23480395e-03, -6.92437762e-03,
        2.38535867e-03,  5.44124478e-03,  3.39757948e-04, -2.44172138e-03,
       -1.22193504e-03,  3.57331976e-03, -3.63405616e-04, -4.26858412e-29], [-4.11124522e-28, -7.49880307e-04, -1.14291587e-03,  3.63004151e-02,
        1.87784492e-02, -1.72266040e-03, -3.34056506e-03,  6.95054230e-02,
        4.35445367e-02,  2.80968677e-02,  3.00493925e-02,  3.72964788e-02,
        2.02029651e-02,  1.55438199e-02, -5.80075518e-03, -1.28444015e-02,
       -7.37547883e-03, -1.85152969e-05,  9.41599029e-03, -6.51660785e-03,
        8.91026896e-03,  9.67257321e-03,  4.89682740e-05, -4.50262302e-03,
       -2.54965779e-03, -3.34575680e-03,  1.25090405e-02, -4.10782989e-28], [-2.47855400e-28, -6.74081923e-03,  1.95262141e-04,  9.04469735e-03,
        1.32012203e-02, -3.73919457e-03, -3.83098388e-03,  8.58358563e-02,
        4.56745945e-02,  2.95483756e-02,  4.04949153e-02,  2.57028815e-02,
        7.16013731e-03, -4.69134511e-03,  7.97563570e-03, -4.20725805e-03,
        2.55413876e-03, -9.48849134e-03, -3.22774621e-03,  8.56479726e-03,
        1.31603916e-02,  3.48443167e-03,  4.10724872e-03, -1.61883123e-03,
       -8.21291973e-03, -8.26383199e-03,  8.90892196e-03, -2.49560078e-28]]"
3,"[0.02225731424186955, 0.023645707186503134, 0.022451736359739235, 0.023358728803068572, 0.022025849941847777, 0.02093645358071831, 0.022706537173357185, 0.020336180191826547, 0.023010522427625225, 0.020754638457308214]",0.022148366836386373,"[0.40996909313455054, 0.42921343682594276, 0.4380305179536012, 0.42964617002782896, 0.44468896897461563, 0.396755884030193, 0.44086571097741317, 0.4164481524024337, 0.40869359600370203, 0.43560913493344433]",0.42499206652637245,"[[-3.75816901e-27,  8.58275616e-03,  4.89733002e-03,  2.57405988e-02,
        5.48082110e-02,  1.23092844e-01,  3.20057065e-01,  1.34223011e-01,
        4.01100588e-02,  9.36698100e-02,  1.27505583e-01,  4.35872577e-02,
       -4.26500738e-03,  2.20592013e-02, -1.12351773e-02, -1.26119363e-02,
       -3.75816901e-27], [-1.63524727e-27,  9.04826141e-04,  9.67114676e-03,  3.19874948e-02,
        3.82425292e-02,  1.35926450e-01,  3.29205628e-01,  1.52250482e-01,
        4.01068338e-02,  8.57191184e-02,  1.47606662e-01,  4.84303301e-02,
        9.88416600e-03, -1.76261001e-03, -6.86401644e-03, -1.17107211e-02,
       -1.63524727e-27], [-6.14928383e-28, -3.39228882e-03,  2.07739536e-02,  1.44134867e-02,
        5.33116016e-02,  1.55359313e-01,  3.24828954e-01,  1.09197241e-01,
        1.83282007e-02,  8.59350014e-02,  1.46433672e-01,  5.15500807e-02,
       -3.09301476e-03,  1.32399795e-02, -1.55415935e-02, -1.56564735e-02,
       -6.14928383e-28], [-7.04456026e-29, -3.99891540e-03,  2.02028576e-02,  2.95761868e-02,
        4.26399306e-02,  1.42758246e-01,  3.23107573e-01,  1.18838856e-01,
        2.80109814e-02,  8.18660665e-02,  1.47987541e-01,  5.32432771e-02,
        1.34553733e-03, -2.89976971e-03, -1.53370206e-03, -1.69457010e-02,
       -7.04456026e-29], [-3.87101506e-27,  2.43963277e-02,  5.09741670e-03,  2.13640319e-02,
        3.51675788e-02,  1.28513253e-01,  3.26910152e-01,  1.25062701e-01,
        4.32477050e-02,  8.23931357e-02,  1.61284728e-01,  3.14541058e-02,
       -1.28294192e-02, -8.94084653e-04, -1.55228657e-02,  2.16156683e-03,
       -3.87101506e-27], [ 0.        , -0.00304727,  0.01408951,  0.03295708,  0.05575896,
        0.12718092,  0.284101  ,  0.14429538,  0.04417898,  0.10091817,
        0.13423465,  0.05218147, -0.00708839,  0.00951937,  0.00949102,
       -0.0107513 ,  0.        ], [-5.17543578e-28, -7.41857688e-03,  8.28498851e-03,  2.78105464e-02,
        5.86333120e-02,  1.32859765e-01,  3.39983483e-01,  1.29508171e-01,
        3.34557547e-02,  8.40048091e-02,  1.44716880e-01,  5.29611388e-02,
       -6.92025803e-03, -7.03192378e-03, -2.12863669e-03, -7.95003953e-03,
       -5.17543578e-28], [-2.26555514e-27, -7.01610096e-03,  2.20771395e-02,  3.35805872e-02,
        2.87096865e-02,  1.06265281e-01,  3.34587746e-01,  9.40780317e-02,
        3.81257097e-02,  8.47064717e-02,  1.12657874e-01,  3.68023754e-02,
       -7.46108723e-03, -4.81833615e-03, -1.15420050e-02, -2.03566042e-02,
       -2.26555514e-27], [-2.79253366e-27,  1.55590977e-02,  1.69632858e-02,  2.24374871e-02,
        5.46529029e-02,  1.35458302e-01,  3.21750378e-01,  1.39035350e-01,
        4.67831943e-02,  9.06318649e-02,  1.17601490e-01,  6.96894723e-02,
       -1.55489927e-02,  4.52376409e-05,  3.71895861e-03, -1.77236930e-02,
       -2.79253366e-27], [-9.45708815e-28, -3.96843707e-03,  1.36845730e-02,  2.58198137e-02,
        4.44615880e-02,  1.18372140e-01,  3.40246125e-01,  1.04469176e-01,
        1.81180138e-02,  7.66663559e-02,  1.25450314e-01,  4.35299992e-02,
       -1.98344014e-02,  3.27108838e-03, -1.85093538e-03, -1.52719672e-02,
       -9.45708815e-28]]"
4,"[0.08218341011295381, 0.0834422166866147, 0.08302125897749435, 0.0838475790801593, 0.08670324832666348, 0.08071487172425516, 0.0822336774283056, 0.07738300085393186, 0.08264817526201992, 0.08012174188430406]",0.08222991803367023,"[0.5986651203745862, 0.59169083408952, 0.5833315877330432, 0.5915860264290428, 0.5844897692160174, 0.60214948862782, 0.6062103858652774, 0.6218879916062877, 0.592660649604885, 0.6008136909468734]",0.5973485544493353,"[[-4.09479318e-27,  1.25842988e-01, -8.14907556e-02,  4.68139915e-01,
        1.16286479e-03,  3.51144984e-01, -1.50740451e-01, -3.52059578e-02,
        6.17374482e-02,  2.92878948e-02, -4.38218440e-02,  5.24665399e-01,
       -6.44014919e-02,  1.21254691e-01, -1.03328511e-02,  5.12943849e-02,
        7.53432526e-01, -4.11714095e-27], [ 4.27970590e-29,  1.19586309e-01, -1.86389952e-02,  4.29811282e-01,
        4.94926888e-02,  3.70524536e-01, -1.24995306e-01, -2.95159666e-02,
        7.85335276e-02,  5.96520930e-02, -1.36806179e-02,  5.25838151e-01,
       -4.42880275e-02,  1.44604613e-01, -6.32893889e-03,  3.81694039e-02,
        7.78753002e-01,  3.99228168e-29], [-1.11570447e-27,  1.06681838e-01, -5.00546476e-02,  4.73715834e-01,
        4.37705705e-02,  3.90422211e-01, -1.29777471e-01, -1.38740150e-02,
        6.83554407e-02,  4.48570488e-02, -5.45340618e-02,  5.20700411e-01,
       -6.87735204e-02,  1.13575270e-01, -3.70602231e-02,  7.88533139e-02,
        7.77173027e-01, -1.11847087e-27], [-4.37996995e-28,  9.81765971e-02, -5.77750017e-02,  4.58877279e-01,
        3.57386855e-02,  3.46760576e-01, -1.30068207e-01, -2.58083988e-02,
        7.73160440e-02,  3.44141712e-02, -5.13769915e-02,  5.50682584e-01,
       -9.00699984e-02,  1.25570074e-01, -3.73452423e-02,  6.08535529e-02,
        7.68650932e-01, -4.35766667e-28], [ 1.29100416e-27,  1.49658986e-01, -3.66127099e-02,  5.03504446e-01,
        8.91370748e-02,  3.59794556e-01, -1.19016697e-01, -1.73448148e-02,
        1.02760117e-01,  3.32252870e-02, -7.38327180e-02,  5.48934711e-01,
       -6.22597973e-02,  9.60498731e-02, -1.65984225e-02,  1.01520860e-01,
        8.07295167e-01,  1.29607185e-27], [ 7.30574221e-28,  1.28380817e-01, -3.13332686e-02,  4.75321949e-01,
        5.79792498e-02,  3.04933043e-01, -1.02595805e-01,  3.07162641e-02,
        8.02126385e-02,  4.22827075e-03, -2.86736599e-02,  5.49937164e-01,
       -6.12112017e-02,  8.99724559e-02, -3.93148156e-02,  6.40085156e-02,
        7.84154967e-01,  7.31736539e-28], [-6.10675616e-27,  1.58816523e-01, -1.61791088e-02,  5.23254205e-01,
        6.62571415e-02,  3.64971031e-01, -1.26666997e-01, -3.23023107e-02,
        1.17019260e-01,  1.26889713e-02, -5.25858217e-02,  5.15681604e-01,
       -6.54398359e-02,  1.46383047e-01, -3.65689814e-02,  5.21474967e-02,
        8.00151953e-01, -6.17841150e-27], [-7.00594294e-29,  1.36093353e-01, -6.05859837e-02,  4.99503436e-01,
        4.38496877e-02,  3.50830679e-01, -9.25712672e-02, -3.88012404e-02,
        1.07584179e-01,  1.27340539e-02, -3.57352530e-02,  5.69591642e-01,
       -6.03541613e-02,  1.29189959e-01, -1.40207273e-02,  9.76612376e-02,
        8.01066579e-01, -7.02764128e-29], [ 0.        ,  0.1476406 , -0.02720122,  0.49807871,  0.09555201,
        0.37018518, -0.1149787 , -0.0086176 ,  0.10389052,  0.05516818,
       -0.01330786,  0.47639056, -0.05606247,  0.08108275, -0.07608809,
        0.06571143,  0.7981403 ,  0.        ], [-4.41478602e-27,  1.18164293e-01, -6.05242513e-02,  4.09357302e-01,
        4.36729027e-02,  3.03476909e-01, -1.10876124e-01, -1.03219162e-03,
        9.94268106e-02,  3.86715719e-02, -3.58271595e-02,  5.71185258e-01,
       -4.33151735e-02,  1.01632959e-01, -4.50305798e-02,  3.77198088e-02,
        7.62507901e-01, -4.40972239e-27]]"
